beach_name,date,culture_sample_1_timestamp,culture_sample_1_reading,culture_sample_2_timestamp,culture_sample_2_reading,culture_reading_mean,culture_sample_interval,culture_note,dna_sample_timestamp,dna_sample_1_reading,dna_sample_2_reading,dna_reading_mean,dna_test_id,latitude,longitude,year
57th Street,2016-07-24,,,,,,,,2016-07-24 12:28:00,39.0,2.0,8.8,1426,41.7911,-87.5797,2016
Hartigan (Albion),2017-05-29,,,,,,,,2017-05-29 12:17:00,13.0,13.0,13.0,2361,42.0027,-87.6564,2017
South Shore,2016-08-28,,,,,,,,2016-08-28 12:28:00,29.0,34.0,31.4,2096,41.7689,-87.5636,2016
Montrose,2016-07-31,,,,,,,,2016-07-31 12:18:00,266.0,287.0,276.3,1551,41.9655,-87.6385,2016
Hartigan (Albion),2017-05-27,,,,,,,,2017-05-27 00:00:00,29.0,309.0,94.7,2317,42.0027,-87.6564,2017
12th Street,2017-05-30,,,,,,,,2017-05-30 00:00:00,217.0,239.0,227.7,2406,41.8638,-87.6083,2017
Montrose,2016-07-16,,,,,,,,2016-07-16 12:20:00,19.0,25.0,21.8,1231,41.9655,-87.6385,2016
Leone,2017-05-27,,,,,,,,2017-05-27 00:00:00,129.0,54.0,83.5,2325,42.0131,-87.6635,2017
Oak Street,2017-05-26,,,,,,,,2017-05-26 12:30:00,94.0,75.0,84.0,2291,41.9032,-87.6235,2017
Montrose,2016-06-12,,,,,,,,2016-06-12 12:52:00,82.0,1121.0,303.2,648,41.9655,-87.6385,2016
Rainbow,2016-09-04,,,,,,,,2016-09-04 12:35:00,6.0,61.0,19.1,2270,41.758,-87.551,2016
Ohio Street,2016-07-24,,,,,,,,2016-07-24 12:29:00,7.0,57.0,20.0,1427,41.8935,-87.6152,2016
Oakwood,2017-05-31,,,,,,,,2017-05-31 00:00:00,72.0,5.0,19.0,2376,41.8211,-87.5976,2017
South Shore,2017-05-29,,,,,,,,2017-05-29 12:17:00,19.0,84.0,39.9,2337,41.7689,-87.5636,2017
South Shore,2016-09-04,,,,,,,,2016-09-04 12:35:00,39.0,41.0,40.0,2271,41.7689,-87.5636,2016
South Shore,2016-06-18,,,,,,,,2016-06-18 12:58:00,31.0,56.0,41.7,844,41.7689,-87.5636,2016
Osterman,2017-05-27,,,,,,,,2017-05-27 00:00:00,93.0,300.0,167.0,2304,41.9877,-87.6545,2017
12th Street,2016-06-26,,,,,,,,2016-06-26 12:38:00,10.0,46.0,21.4,974,41.8638,-87.6083,2016
Calumet,2016-07-10,,,,,,,,2016-07-10 13:15:00,151.0,75.0,106.4,1170,41.7142,-87.5299,2016
Calumet,2016-07-02,,,,,,,,2016-07-02 13:04:00,71.0,48.0,58.4,1065,41.7142,-87.5299,2016
12th Street,2016-07-16,,,,,,,,2016-07-16 12:21:00,15.0,5.0,8.7,1234,41.8638,-87.6083,2016
South Shore,2016-06-19,,,,,,,,2016-06-19 12:30:00,42.0,388.0,127.7,864,41.7689,-87.5636,2016
Osterman,2017-05-28,,,,,,,,2017-05-28 00:00:00,141.0,23.0,56.9,2351,41.9877,-87.6545,2017
Oak Street,2017-05-27,,,,,,,,2017-05-27 00:00:00,38.0,117.0,66.7,2301,41.9032,-87.6235,2017
South Shore,2016-08-07,,,,,,,,2016-08-07 12:58:00,48.0,62.0,54.6,1648,41.7689,-87.5636,2016
North Avenue,2017-05-31,,,,,,,,2017-05-31 00:00:00,6.0,6.0,6.0,2417,41.9148,-87.6273,2017
Leone,2017-05-26,,,,,,,,2017-05-26 12:33:00,181.0,,181.0,2310,42.0131,-87.6635,2017
Rainbow,2016-07-10,,,,,,,,2016-07-10 13:19:00,37.0,11.0,20.2,1173,41.758,-87.551,2016
Ohio Street,2016-08-21,,,,,,,,2016-08-21 12:45:00,8.0,33.0,16.2,1992,41.8935,-87.6152,2016
Ohio Street,2017-05-27,,,,,,,,2017-05-27 00:00:00,177.0,294.0,228.1,2314,41.8935,-87.6152,2017
12th Street,2016-07-10,,,,,,,,2016-07-10 13:20:00,18.0,45.0,28.5,1184,41.8638,-87.6083,2016
Ohio Street,2016-08-03,,,,,,,,2016-08-03 12:31:00,20.0,5.0,10.0,1575,41.8935,-87.6152,2016
Ohio Street,2016-06-18,,,,,,,,2016-06-18 12:58:00,401.0,324.0,360.4,823,41.8935,-87.6152,2016
63rd Street,2016-07-03,,,,,,,,2016-07-03 12:19:00,27.0,43.0,34.1,1084,41.7827,-87.5748,2016
Calumet,2016-08-06,,,,,,,,2016-08-06 12:40:00,2.0,20.0,6.3,1520,41.7142,-87.5299,2016
12th Street,2016-06-25,,,,,,,,2016-06-25 12:43:00,30.0,6.0,13.4,969,41.8638,-87.6083,2016
