DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,Hartigan,,,,87489,06/15/2010 12:00:00 AM,50.4,52.0,51.2,,,,,,
,,Marion Mahony Griffin,,,,102617,06/09/2009 12:00:00 AM,3.1,1.0,1.8,,,,,,
,,Columbia,,,,101733,08/30/2007 12:00:00 AM,365.4,579.4,460.1,,,,,,
,,Columbia,,,,98853,07/26/2007 12:00:00 AM,206.4,209.8,208.1,,,,,,
,,Columbia,,,,91153,07/21/2009 12:00:00 AM,167.0,178.5,172.7,,,,,,
703,06/11/2016 01:18:00 PM,North Avenue,145.0,112.0,127.4,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
,,Margaret T Burroughs,,,,99788,06/04/2008 12:00:00 AM,191.8,129.6,157.7,,,,,,
,,Margaret T Burroughs,,,,96356,08/16/2011 12:00:00 AM,16.0,14.6,15.3,,,,,,
,,Columbia,,,,103222,06/01/2006 12:00:00 AM,23.1,9.7,15.0,,,,,,
,,Hartigan,,,,110486,07/09/2013 12:00:00 AM,111.0,140.0,124.7,,,,,,
,,Margaret T Burroughs,,,,89017,08/13/2009 12:00:00 AM,86.0,145.5,111.9,,,,,,
,,Marion Mahony Griffin,,,,89116,06/09/2010 12:00:00 AM,12.0,13.4,12.7,,,,,,
,,Columbia,,,,101405,06/25/2008 12:00:00 AM,17.1,12.1,14.4,,,,,,
,,Marion Mahony Griffin,,,,89136,06/10/2010 12:00:00 AM,2.0,3.1,2.5,,,,,,
,,Marion Mahony Griffin,,,,95610,06/08/2015 12:00:00 AM,5.0,4.0,4.5,,,,,,
,,Marion Mahony Griffin,,,,104183,06/22/2006 12:00:00 AM,45.5,67.0,55.2,,,,,,
,,Marion Mahony Griffin,,,,93974,07/23/2015 12:00:00 AM,3.0,2.0,2.4,,,,,,
,,Marion Mahony Griffin,,,,103082,06/27/2007 12:00:00 AM,2.0,2.0,2.0,,,,,,
,,Columbia,,,,98991,08/01/2007 12:00:00 AM,24.6,23.3,23.9,,,,,,
,,Margaret T Burroughs,,,,92689,08/07/2014 12:00:00 AM,32.0,88.0,53.1,,,,,,
,,Margaret T Burroughs,,,,90717,07/12/2010 12:00:00 AM,68.3,48.8,57.7,,,,,,
,,Hartigan,,,,94237,08/07/2009 12:00:00 AM,67.7,49.6,57.9,,,,,,
,,Margaret T Burroughs,,,,91599,07/01/2009 12:00:00 AM,101.7,48.0,69.9,,,,,,
,,Columbia,,,,99457,07/18/2007 12:00:00 AM,24.6,16.1,19.9,,,,,,
,,Hartigan,,,,102406,07/10/2008 12:00:00 AM,13.0,8.6,10.6,,,,,,
,,Columbia,,,,100064,07/12/2008 12:00:00 AM,70.3,108.1,87.2,,,,,,
,,Margaret T Burroughs,,,,98314,08/16/2006 12:00:00 AM,307.6,307.6,307.6,,,,,,
,,Columbia,,,,91564,06/29/2009 12:00:00 AM,1.0,1.0,1.0,,,,,,
,,Hartigan,,,,96652,07/19/2011 12:00:00 AM,4.1,8.5,5.9,,,,,,
,,Margaret T Burroughs,,,,93285,07/09/2015 12:00:00 AM,58.0,78.0,67.3,,,,,,
,,Marion Mahony Griffin,,,,104665,06/29/2006 12:00:00 AM,2.0,3.1,2.5,,,,,,
,,Columbia,,,,97942,07/10/2006 12:00:00 AM,686.7,866.4,771.3,,,,,,
,,Hartigan,,,,112168,05/23/2012 12:00:00 AM,3.1,1.0,1.8,,,,,,
,,Margaret T Burroughs,,,,111306,08/18/2012 12:00:00 AM,9.8,19.9,14.0,,,,,,
,,Columbia,,,,101861,06/01/2009 12:00:00 AM,8.5,7.5,8.0,,,,,,
,,Margaret T Burroughs,,,,104267,06/28/2006 12:00:00 AM,3.1,2.0,2.5,,,,,,
,,Margaret T Burroughs,,,,92412,08/05/2009 12:00:00 AM,60.5,56.5,58.5,,,,,,
,,Hartigan,,,,90258,06/27/2011 12:00:00 AM,38.8,45.0,41.8,,,,,,
,,Marion Mahony Griffin,,,,99920,06/04/2008 12:00:00 AM,53.7,43.1,48.1,,,,,,
,,Marion Mahony Griffin,,,,110922,06/17/2014 12:00:00 AM,35.0,38.0,36.5,,,,,,
